ユリウス暦,761/2/10,3月11日,4月10日,5月9日,6月7日,7月7日,8月5日,9月4日,10月3日,11月2日,12月1日,12月31日,
天平宝字六年（壬寅）,一月,二月,三月,四月※,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月,閏十二月※
ユリウス暦,762/1/29,2月28日,3月30日,4月29日,5月28日,6月26日,7月26日,8月24日,9月22日,10月22日,11月20日,12月20日,763/1/19
天平宝字七年（癸卯）,一月,二月,三月,四月※,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月,
ユリウス暦,763/2/17,3月19日,4月18日,5月18日,6月16日,7月15日,8月14日,9月12日,10月11日,11月10日,12月9日,764/1/8,
天平宝字八年（甲辰）,一月※,二月,三月,四月※,五月,六月※,七月,八月※,九月※,十月,十一月※,十二月,
ユリウス暦,764/2/7,3月7日,4月6日,5月6日,6月4日,7月4日,8月2日,9月1日,9月30日,10月29日,11月28日,12月27日,
天平宝字九年（乙巳）,一月※,二月,三月,四月※,五月,六月,七月※,八月,九月※,十月,閏十月※,十一月※,十二月
ユリウス暦,765/1/26,2月24日,3月26日,4月25日,5月24日,6月23日,7月23日,8月21日,9月20日,10月19日,11月18日,12月17日,766/1/15
天平神護元年（乙巳）,一月※,二月,三月,四月※,五月,六月,七月※,八月,九月※,十月,閏十月※,十一月※,十二月
ユリウス暦,765/1/26,2月24日,3月26日,4月25日,5月24日,6月23日,7月23日,8月21日,9月20日,10月19日,11月18日,12月17日,766/1/15
天平神護二年（丙午）,一月※,二月,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
ユリウス暦,766/2/14,3月15日,4月14日,5月14日,6月12日,7月12日,8月10日,9月9日,10月9日,11月7日,12月7日,767/1/5,
天平神護三年（丁未）,一月※,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月,十二月※,
ユリウス暦,767/2/4,3月5日,4月3日,5月3日,6月1日,7月1日,7月30日,8月29日,9月28日,10月27日,11月26日,12月26日,
神護景雲元年（丁未）,一月※,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月,十二月※,
ユリウス暦,767/2/4,3月5日,4月3日,5月3日,6月1日,7月1日,7月30日,8月29日,9月28日,10月27日,11月26日,12月26日,
神護景雲二年（戊申）,一月,二月※,三月※,四月,五月※,六月,閏六月※,七月,八月※,九月,十月,十一月,十二月※
ユリウス暦,768/1/24,2月23日,3月23日,4月21日,5月21日,6月19日,7月19日,8月17日,9月16日,10月15日,11月14日,12月14日,769/1/13
神護景雲三年（己酉）,一月,二月※,三月※,四月,五月※,六月※,七月,八月※,九月,十月,十一月,十二月,
ユリウス暦,769/2/11,3月13日,4月11日,5月10日,6月9日,7月8日,8月6日,9月5日,10月4日,11月3日,12月3日,770/1/2,
